"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_LBXTHG","avg_SBP",-0.50712441404649,0.371530948081972,-1.36495873806615,0.214514605644808,4662,7,0.549890577887893,FALSE,FALSE,FALSE
"log_LBXBSE","avg_SBP",0.512961821987656,1.79890809267327,0.285151767384274,0.783780288081777,4662,7,0.919941709803151,FALSE,FALSE,FALSE
"log_LBXBMN","avg_SBP",1.77502344954936,0.948414467404243,1.87156935132748,0.103439119060601,4662,7,0.396440732483448,FALSE,FALSE,FALSE
"log_URXMZP","avg_SBP",0.0121190513777134,0.384257035487303,0.0315389186364394,0.975862712829828,1518,6,0.992402758809994,FALSE,FALSE,FALSE
"log_URXMNP","avg_SBP",1.26920561270721,0.804983097026861,1.57668604147704,0.165940467434353,1518,6,0.488668852080049,FALSE,FALSE,FALSE
"log_URXMC1","avg_SBP",1.79139316828868,0.435112546354231,4.11708001366221,0.0062366271726749,1518,6,0.147831162611553,FALSE,FALSE,FALSE
"log_URXMHH","avg_SBP",-0.389263505717356,0.744150856075713,-0.52309757160012,0.619653641717461,1518,6,0.846500730919285,FALSE,FALSE,FALSE
"log_URXMOH","avg_SBP",-0.736701284433986,0.715979042554966,-1.02894252575477,0.343187461447873,1518,6,0.658609025352032,FALSE,FALSE,FALSE
"log_URXMHP","avg_SBP",0.711193317937713,0.702921680213542,1.01176750974825,0.350696889771073,1518,6,0.664041448087239,FALSE,FALSE,FALSE
"log_URXMIB","avg_SBP",-0.539520000531271,0.767036806311432,-0.703382153362032,0.508178950104509,1518,6,0.774346552130471,FALSE,FALSE,FALSE
"log_URXMEP","avg_SBP",0.0355175106945027,0.376707417184538,0.0942840758484553,0.927953288258971,1518,6,0.975637254965769,FALSE,FALSE,FALSE
"log_URXMCOH","avg_SBP",1.48231947827896,0.707628259870588,2.09477145323457,0.0810616199078312,1518,6,0.358241334999268,FALSE,FALSE,FALSE
"log_URXMHNC","avg_SBP",1.19760357200883,0.659983718783205,1.81459563005103,0.119511758575163,1518,6,0.421806206735869,FALSE,FALSE,FALSE
"log_URXMHBP","avg_SBP",-0.0311122070415049,0.593363818982553,-0.0524336099475247,0.959885321024727,1518,6,0.986605897412996,FALSE,FALSE,FALSE
"log_URXECP","avg_SBP",0.0898354351868003,0.789941880930947,0.113724107248155,0.91316639571324,1518,6,0.971547273610516,FALSE,FALSE,FALSE
"log_URXP01","avg_SBP",0.392493579945567,0.496419700489984,0.7906486780403,0.459250567592731,1531,6,0.734189083911776,FALSE,FALSE,FALSE
"log_URXP03","avg_SBP",-0.362665182988353,0.571468109645241,-0.634620159668211,0.549094099712762,1543,6,0.804779138510308,FALSE,FALSE,FALSE
"log_URXP04","avg_SBP",-0.471058781897611,0.680800524596705,-0.691918946708594,0.514857361205001,1553,6,0.77714318672453,FALSE,FALSE,FALSE
"log_URXP06","avg_SBP",0.389710411828643,0.829413763634442,0.4698624847036,0.65504434327681,1555,6,0.861428177459914,FALSE,FALSE,FALSE
"log_URXP10","avg_SBP",-0.0362582719202664,0.720581186495295,-0.0503180940604577,0.961502184348038,1554,6,0.987739001577438,FALSE,FALSE,FALSE
"log_URXUBA","avg_SBP",1.00345081800589,0.682154352244535,1.47100258864313,0.191697938333509,1561,6,0.517665318706522,FALSE,FALSE,FALSE
"log_URXUCD","avg_SBP",-0.630828491714206,0.750232011638339,-0.840844541326112,0.432660672253104,1561,6,0.714280731492656,FALSE,FALSE,FALSE
"log_URXUCO","avg_SBP",1.04190832197584,0.816818069535145,1.27556962907149,0.24926517941245,1561,6,0.58344493391224,FALSE,FALSE,FALSE
"log_URXUCS","avg_SBP",2.15277688207116,1.81508860880487,1.18604506227861,0.280438181681097,1561,6,0.607721567525629,FALSE,FALSE,FALSE
"log_URXUMO","avg_SBP",-1.25320983878715,0.974603756310915,-1.28586600520689,0.245882452569943,1561,6,0.579968438494214,FALSE,FALSE,FALSE
"log_URXUMN","avg_SBP",-0.343336377803282,1.50438019570834,-0.22822447329654,0.827050852769627,1561,6,0.940084462469503,FALSE,FALSE,FALSE
"log_URXUPB","avg_SBP",0.772031826898947,0.897986590062695,0.859736476515808,0.422949721926625,1561,6,0.707434703842441,FALSE,FALSE,FALSE
